epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.062,2.77795,76.3315,2.26311,0.29167,0.13208,0.05955,0.0409,1.75574,42.8304,1.87961,0.00046,0.00046,0.00046
2,24.8967,2.20541,45.3049,1.99412,0.12901,0.60377,0.12765,0.08413,1.81414,34.6007,1.87232,0.000928368,0.000928368,0.000928368
3,35.3769,2.22147,23.2916,2.06197,0.48523,0.69811,0.44136,0.2923,1.90094,23.2004,1.96349,0.00138485,0.00138485,0.00138485
4,45.7854,2.25744,12.663,2.06885,0.88865,0.69811,0.80439,0.503,1.9101,8.80397,1.97623,0.00182946,0.00182946,0.00182946
5,56.2176,2.24022,8.26199,2.02834,0.83888,0.79245,0.8515,0.55536,1.85323,5.71308,2.01474,0.001901,0.001901,0.001901
6,66.8415,2.24517,5.6796,2.09578,0.8138,0.79245,0.90395,0.54624,2.02256,3.96703,2.09928,0.00187625,0.00187625,0.00187625
7,79.5848,2.16857,4.04688,2.1336,0.91561,0.81898,0.91591,0.59582,1.99506,2.72165,2.054,0.0018515,0.0018515,0.0018515
8,93.2161,2.31704,3.22642,2.13739,0.88622,0.88182,0.94268,0.59173,2.21766,1.76422,2.18759,0.00182675,0.00182675,0.00182675
9,105.148,2.22691,2.53896,2.0811,0.85914,0.90566,0.9406,0.59609,2.13029,1.6309,2.18252,0.001802,0.001802,0.001802
10,115.662,2.26111,2.2677,2.06126,0.8701,0.88472,0.93019,0.59879,1.96429,1.93737,2.14,0.00177725,0.00177725,0.00177725
11,126.886,2.35323,1.98014,2.1264,0.89638,0.90566,0.94844,0.62664,2.02065,1.48676,2.11782,0.0017525,0.0017525,0.0017525
12,137.665,2.19128,1.84533,2.13811,0.93482,0.86792,0.9626,0.63084,1.96853,1.40691,2.08745,0.00172775,0.00172775,0.00172775
13,148.114,2.19904,1.747,2.06203,0.91293,0.79245,0.94526,0.61353,2.20496,1.46153,2.09081,0.001703,0.001703,0.001703
14,158.543,2.25087,1.70927,2.12268,0.93814,0.85858,0.94912,0.62801,1.90757,1.32845,2.04529,0.00167825,0.00167825,0.00167825
15,170.756,2.16231,1.63763,2.02631,0.95909,0.88472,0.94519,0.66703,1.92051,1.36172,2.12548,0.0016535,0.0016535,0.0016535
16,181.569,2.20906,1.63095,2.04276,0.9305,0.90566,0.94362,0.63571,2.1466,1.35882,2.24687,0.00162875,0.00162875,0.00162875
17,192.951,2.1914,1.56774,2.06538,0.97443,0.90566,0.95966,0.62589,2.16933,1.38911,2.25719,0.001604,0.001604,0.001604
18,204.211,2.01842,1.44213,1.97905,0.89178,0.93299,0.94262,0.64839,2.04171,1.30996,2.13408,0.00157925,0.00157925,0.00157925
19,217.4,2.04586,1.39611,2.0063,0.95997,0.90486,0.94048,0.66484,1.85493,1.25243,2.0948,0.0015545,0.0015545,0.0015545
20,230.693,2.00512,1.38406,2.02859,0.9408,0.96226,0.97455,0.66615,1.82568,1.08803,2.03901,0.00152975,0.00152975,0.00152975
21,241.151,1.96493,1.41566,1.98133,1,0.92232,0.98521,0.65817,2.08696,1.08687,2.38343,0.001505,0.001505,0.001505
22,251.514,2.09327,1.35439,2.04544,0.98022,0.93505,0.9866,0.65678,2.1923,1.11769,2.30818,0.00148025,0.00148025,0.00148025
23,262.029,1.99952,1.32373,1.97837,0.92534,0.93546,0.94791,0.63295,1.99536,1.21801,2.10052,0.0014555,0.0014555,0.0014555
24,273.102,1.96359,1.23873,1.95372,0.87693,0.94113,0.9532,0.67068,1.94613,1.12651,2.16454,0.00143075,0.00143075,0.00143075
25,284.741,2.08251,1.30232,1.97965,0.9376,0.9434,0.98353,0.68232,2.12311,1.01952,2.20795,0.001406,0.001406,0.001406
26,296.364,2.01399,1.21909,2.03125,0.90077,0.9434,0.96245,0.67924,2.06275,1.11561,2.22547,0.00138125,0.00138125,0.00138125
27,307.343,2.10311,1.15721,2.03191,0.93191,0.96226,0.98132,0.63697,2.23568,1.07971,2.30719,0.0013565,0.0013565,0.0013565
28,318.499,2.0914,1.1877,2.01534,0.95905,0.9434,0.98551,0.63318,2.22339,1.14404,2.27732,0.00133175,0.00133175,0.00133175
29,332.067,1.91341,1.10863,1.9382,0.92481,0.92827,0.97159,0.65128,2.08824,1.11746,2.12172,0.001307,0.001307,0.001307
30,346.113,1.92211,1.12006,1.93163,0.97527,0.92453,0.98482,0.66734,2.11817,1.09426,2.13223,0.00128225,0.00128225,0.00128225
31,360.119,1.91166,1.14022,1.93539,0.92952,0.99546,0.98992,0.69804,2.07408,0.9869,2.14611,0.0012575,0.0012575,0.0012575
32,374.12,1.8349,1.11757,1.91393,0.92933,0.99261,0.98815,0.70914,1.97104,0.95723,2.04247,0.00123275,0.00123275,0.00123275
33,388.177,1.77153,1.16031,1.90972,0.9447,0.98113,0.98951,0.69829,1.97652,1.02595,2.08495,0.001208,0.001208,0.001208
34,402.347,1.81272,1.1266,1.92244,0.98141,0.98113,0.99446,0.69605,2.05933,1.1593,2.1032,0.00118325,0.00118325,0.00118325
35,416.493,1.83192,1.06285,1.96534,0.96271,0.97418,0.99152,0.68901,2.16406,1.10675,2.25522,0.0011585,0.0011585,0.0011585
36,430.654,1.65991,0.97467,1.87746,0.94044,1,0.99188,0.68142,2.21864,0.98923,2.28231,0.00113375,0.00113375,0.00113375
37,444.737,1.81492,1.0876,1.93771,0.98041,0.94406,0.99242,0.68035,2.01002,1.20569,2.16652,0.001109,0.001109,0.001109
38,458.82,1.64118,0.96349,1.83854,0.95416,0.92453,0.98534,0.69314,1.98729,0.89227,2.12296,0.00108425,0.00108425,0.00108425
39,472.876,1.61651,0.96306,1.87119,0.94101,0.96226,0.98617,0.68612,1.94666,0.88503,2.14659,0.0010595,0.0010595,0.0010595
40,486.971,1.70052,1.01322,1.88786,0.95669,0.98113,0.99128,0.69869,2.05299,0.89772,2.15851,0.00103475,0.00103475,0.00103475
41,501.089,1.68224,1.01176,1.87583,0.96747,0.98113,0.9935,0.70983,2.01441,0.89099,2.11785,0.00101,0.00101,0.00101
42,515.057,1.63652,0.91885,1.93994,0.96281,0.97704,0.99208,0.71385,1.94349,0.85537,2.09347,0.00098525,0.00098525,0.00098525
43,529.171,1.60237,0.92429,1.85671,0.92642,0.98113,0.9888,0.72725,1.93246,0.87006,2.13058,0.0009605,0.0009605,0.0009605
44,543.141,1.64909,1.00772,1.87575,1,0.96844,0.99383,0.71665,1.9471,0.87038,2.10227,0.00093575,0.00093575,0.00093575
45,557.137,1.60602,0.9789,1.81019,0.9282,0.97576,0.98775,0.7114,1.99751,0.92487,2.19145,0.000911,0.000911,0.000911
46,571.149,1.5403,0.90202,1.86092,0.94582,0.98826,0.99184,0.68879,2.04172,0.9419,2.23313,0.00088625,0.00088625,0.00088625
47,585.187,1.59093,0.94154,1.87323,0.96496,0.96226,0.99352,0.71131,1.99282,0.92039,2.23999,0.0008615,0.0008615,0.0008615
48,599.177,1.65366,0.95142,1.88429,0.99904,1,0.995,0.71546,2.04539,0.89564,2.12832,0.00083675,0.00083675,0.00083675
49,613.273,1.5959,0.89634,1.88627,1,0.97847,0.99446,0.69448,1.98253,0.93047,2.14246,0.000812,0.000812,0.000812
50,627.317,1.58474,0.90758,1.84025,0.99285,0.98113,0.9943,0.72405,1.91208,0.88817,2.08511,0.00078725,0.00078725,0.00078725
51,641.317,1.57424,0.93502,1.84304,0.96284,0.97777,0.98901,0.71705,1.8115,0.88389,2.05285,0.0007625,0.0007625,0.0007625
52,655.233,1.49084,0.91336,1.79916,0.99411,0.98113,0.99216,0.73014,1.8005,0.81724,2.03859,0.00073775,0.00073775,0.00073775
