epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5756,2.10126,56.8141,2.39627,0.44231,0.53488,0.3261,0.27265,1.48726,37.2665,2.27229,0.00052,0.00052,0.00052
2,20.5862,1.87618,31.4925,2.27033,0.31741,0.49754,0.32858,0.26984,1.59146,28.9013,2.34754,0.00104688,0.00104688,0.00104688
3,29.5331,1.94278,16.9981,2.24413,0.58114,0.46512,0.47954,0.33822,1.62022,12.1436,2.34553,0.0015604,0.0015604,0.0015604
4,38.5109,2.09068,10.7328,2.29424,0.38304,0.5814,0.37548,0.31314,1.72852,9.00575,2.44941,0.00192575,0.00192575,0.00192575
5,47.4813,1.96638,6.21353,2.33132,0.49803,0.48837,0.49566,0.38435,1.74009,6.04901,2.48228,0.001901,0.001901,0.001901
6,56.6218,1.98955,4.41617,2.33367,0.7643,0.74419,0.82994,0.60495,1.86209,3.51072,2.53662,0.00187625,0.00187625,0.00187625
7,65.724,1.98755,3.61665,2.30635,0.75342,0.69767,0.67803,0.5119,2.10488,3.26103,2.80995,0.0018515,0.0018515,0.0018515
8,75.0971,1.99426,2.82873,2.30761,0.73291,0.7907,0.76674,0.57512,2.15891,2.81928,2.75072,0.00182675,0.00182675,0.00182675
9,84.2925,2.03562,2.58068,2.3415,0.73101,0.69525,0.71753,0.53359,2.31898,3.25595,2.85191,0.001802,0.001802,0.001802
10,93.6824,2.04066,2.35808,2.33642,0.75384,0.74419,0.74522,0.57816,2.04558,2.45211,2.69125,0.00177725,0.00177725,0.00177725
11,102.904,2.12019,2.09661,2.33261,0.7989,0.7907,0.82438,0.5999,1.99206,2.40309,2.66719,0.0017525,0.0017525,0.0017525
12,111.901,1.92448,1.99889,2.25216,0.72974,0.72093,0.77811,0.54087,2.16493,2.28146,2.67319,0.00172775,0.00172775,0.00172775
13,120.824,1.99188,2.23711,2.30465,0.68676,0.7907,0.76652,0.5194,2.17047,2.24957,2.74523,0.001703,0.001703,0.001703
14,129.712,1.97626,1.92912,2.25379,0.79746,0.72093,0.78695,0.58642,2.02875,2.20292,2.75315,0.00167825,0.00167825,0.00167825
15,138.661,1.96736,1.9537,2.2687,0.8585,0.84671,0.86072,0.68845,2.06098,2.00133,2.73476,0.0016535,0.0016535,0.0016535
16,147.58,1.92516,1.71291,2.19783,0.68673,0.81395,0.76534,0.59736,2.14414,2.20723,2.9389,0.00162875,0.00162875,0.00162875
17,156.578,1.83227,1.67048,2.19006,0.71838,0.86047,0.7958,0.61569,2.23928,2.50722,3.04598,0.001604,0.001604,0.001604
18,165.514,1.8618,1.59041,2.2174,0.76218,0.81995,0.81159,0.55221,2.17828,2.3184,2.76943,0.00157925,0.00157925,0.00157925
19,174.431,1.82178,1.56445,2.1654,0.86938,0.74419,0.82371,0.61848,2.19618,2.41125,2.67318,0.0015545,0.0015545,0.0015545
20,183.32,1.92016,1.64927,2.18416,0.80713,0.87602,0.83853,0.63153,1.98238,1.97846,2.57442,0.00152975,0.00152975,0.00152975
21,192.32,1.73777,1.4718,2.10771,0.79358,0.89419,0.87291,0.64948,2.01882,1.99074,2.52719,0.001505,0.001505,0.001505
22,201.312,1.75186,1.57437,2.08128,0.90926,0.74419,0.84316,0.63005,2.1272,1.85786,2.5772,0.00148025,0.00148025,0.00148025
23,210.273,1.71422,1.32835,2.11599,0.81122,0.79961,0.8094,0.60833,2.15173,2.11514,2.79226,0.0014555,0.0014555,0.0014555
24,219.234,1.65557,1.40211,2.11509,0.87465,0.81139,0.84513,0.61199,2.10411,2.0904,2.82295,0.00143075,0.00143075,0.00143075
25,228.326,1.68251,1.4006,2.13088,0.87278,0.79784,0.86092,0.63575,2.2321,1.94807,2.99596,0.001406,0.001406,0.001406
26,237.472,1.65032,1.3809,2.08335,0.83337,0.8142,0.81116,0.63548,2.18654,1.86646,2.92092,0.00138125,0.00138125,0.00138125
27,246.539,1.54456,1.26455,2.01504,0.8618,0.76744,0.78652,0.62384,2.16484,1.91655,2.90783,0.0013565,0.0013565,0.0013565
28,255.644,1.612,1.35262,2.08357,0.79089,0.7907,0.81709,0.65513,2.07809,1.98744,2.90023,0.00133175,0.00133175,0.00133175
29,264.76,1.58003,1.27467,2.08521,0.84936,0.78682,0.82188,0.62307,2.05556,2.0289,2.82739,0.001307,0.001307,0.001307
30,273.881,1.55691,1.29152,2.03682,0.80862,0.78617,0.80886,0.62542,1.97198,2.14091,2.5801,0.00128225,0.00128225,0.00128225
31,283.252,1.61343,1.32534,2.03485,0.84547,0.76354,0.82213,0.6316,1.8893,1.99737,2.47444,0.0012575,0.0012575,0.0012575
32,292.757,1.51635,1.23034,2.03335,0.77525,0.80232,0.81389,0.63841,2.04568,1.97531,2.6723,0.00123275,0.00123275,0.00123275
33,301.789,1.53825,1.1709,2.03825,0.90671,0.74419,0.86406,0.6608,2.13533,1.89644,2.76841,0.001208,0.001208,0.001208
34,310.82,1.55126,1.28574,2.08736,0.83462,0.72093,0.80165,0.64361,2.0338,2.14589,2.7006,0.00118325,0.00118325,0.00118325
35,320.248,1.5023,1.24459,2.03211,0.82856,0.78681,0.82952,0.65753,1.99761,2.08481,2.70052,0.0011585,0.0011585,0.0011585
36,329.335,1.40052,1.04935,1.99066,0.80305,0.7587,0.79759,0.64174,2.0606,2.27404,2.75317,0.00113375,0.00113375,0.00113375
37,338.264,1.48223,1.16685,2.01495,0.83294,0.81173,0.79747,0.61696,2.16417,2.38366,2.94782,0.001109,0.001109,0.001109
38,347.329,1.3363,1.02972,1.9558,0.83613,0.90698,0.86332,0.66525,2.0041,2.05532,2.7609,0.00108425,0.00108425,0.00108425
39,356.263,1.37136,1.09797,1.96502,0.85967,0.88372,0.8847,0.68529,1.91926,1.89777,2.64704,0.0010595,0.0010595,0.0010595
40,365.239,1.37893,1.02422,1.96834,0.84893,0.81395,0.86677,0.69253,1.83314,2.15694,2.54873,0.00103475,0.00103475,0.00103475
